letter	AvantGarde-BookOblique	AvantGarde-Book	AvantGarde-DemiOblique	AvantGarde-Demi	Bookman-Demi	Bookman-Demiltalic	Bookman-LightItalic	Bookman-Light	Courier-Bold	Courier-Boldoblique	Courier-Oblique	Courier	Helvetica-BoldOblique	Helvetica-Bold	Helvetica-Narrow-BoldOblique	Helvetica-Narrow-Bold	Helvetica-Narrow-Oblique	Helvetica-Narrow	Helvetica-Oblique	Helvetica	NewCenturySchlbk-BoldItalic	NewCenturySchlbk-Bold	NewCenturySchlbk-Italic	NewCenturySchlbk-Roman	Palatino-Bold	Palatino-Boldltalic	Palatino-Italic	Palatino-Roman	Symbol	Times-Bold	Times-Boldltalic	Times-Italic	Times-Roman	ZapfChancery-MediumItalic	ZapfDingbats
,	.01026583333333333333	.01026583333333333333	.01038116666666666666	.01038116666666666666	.01233908333333333333	.01016000000000000000	.01090041666666666666	.01164166666666666666	.02169550000000000000	.01016000000000000000	.02169550000000000000	.02169550000000000000	.01026583333333333333	.01016000000000000000	.00849353333333333333	.00849353333333333333	.00849353333333333333	.00849353333333333333	.01026583333333333333	.01016000000000000000	.01071935000000000000	.01047750000000000000	.01037166666666666666	.01016000000000000000	.00920750000000000000	.01016000000000000000	.00931333333333333333	.00931333333333333333	.00941916666666666666	.00931333333333333333	.01016000000000000000	.00931333333333333333	.00931333333333333333	.00814916666666666666	.02000250000000000000
-	.02211916666666666666	.02211916666666666666	.02185450000000000000	.02185450000000000000	.02206616666666666666	.02159000000000000000	.02169550000000000000	.02206616666666666666	.02196050000000000000	.02159000000000000000	.02169550000000000000	.02196050000000000000	.02127250000000000000	.02148416666666666666	.01746250000000000000	.01746250000000000000	.01746250000000000000	.01746250000000000000	.02127250000000000000	.02159000000000000000	.02222500000000000000	.02233083333333333333	.02222500000000000000	.02201333333333333333	.02211916666666666666	.02159000000000000000	.02222500000000000000	.02222500000000000000	.02021416666666666666	.02089050000000000000	.02159000000000000000	.02439416666666666666	.02067683333333333333	.01905000000000000000	.03100916666666666666
.	.01016000000000000000	.01016000000000000000	.01038116666666666666	.01038116666666666666	.01233908333333333333	.01016000000000000000	.01090041666666666666	.01164166666666666666	.02169550000000000000	.01016000000000000000	.02169550000000000000	.02169550000000000000	.01026583333333333333	.01016000000000000000	.00849353333333333333	.00849353333333333333	.00849353333333333333	.00849353333333333333	.01026583333333333333	.01016000000000000000	.01071935000000000000	.01047750000000000000	.01037166666666666666	.01016000000000000000	.00920750000000000000	.01016000000000000000	.00931333333333333333	.00931333333333333333	.00910166666666666666	.00931333333333333333	.01016000000000000000	.00931333333333333333	.00931333333333333333	.00804333333333333333	.03305850000000000000
/	.01640416666666666666	.01598083333333333333	.01735666666666666666	.01682750000000000000	.02206616666666666666	.01058333333333333333	.02169550000000000000	.02169550000000000000	.02196050000000000000	.01058333333333333333	.02174833333333333333	.02169550000000000000	.01100666666666666666	.01047750000000000000	.00931333333333333333	.00857250000000000000	.00920750000000000000	.00849353333333333333	.01111250000000000000	.01058333333333333333	.01047750000000000000	.01058333333333333333	.02201333333333333333	.01079500000000000000	.01090083333333333333	.01058333333333333333	.01143000000000000000	.02201333333333333333	.01047750000000000000	.01037166666666666666	.01058333333333333333	.01090083333333333333	.01037166666666666666	.01354666666666666666	.03387733333333333333
0	.02042583333333333333	.02021416666666666666	.02053166666666666666	.02042583333333333333	.02423583333333333333	.02063866666666666666	.02243666666666666666	.02275416666666666666	.02196050000000000000	.02063866666666666666	.02169550000000000000	.02169550000000000000	.02053166666666666666	.02053283333333333333	.01693333333333333333	.01672366666666666666	.01693333333333333333	.01672366666666666666	.02042583333333333333	.02063866666666666666	.02106833333333333333	.02117416666666666666	.02042700000000000000	.02011033333333333333	.01825583333333333333	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01846750000000000000	.01836166666666666666	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01629833333333333333	.03305850000000000000
1	.02010833333333333333	.02010833333333333333	.02032000000000000000	.02032000000000000000	.02391833333333333333	.02011033333333333333	.02243666666666666666	.02243666666666666666	.02196050000000000000	.02011033333333333333	.02169550000000000000	.02169550000000000000	.02011033333333333333	.02011033333333333333	.01651371666666666666	.01672366666666666666	.01651371666666666666	.01672366666666666666	.02011033333333333333	.02011033333333333333	.02106833333333333333	.02075783333333333333	.02042700000000000000	.02011033333333333333	.01825583333333333333	.02011033333333333333	.01836166666666666666	.01836166666666666666	.01809633333333333333	.01836166666666666666	.02011033333333333333	.01836166666666666666	.01809633333333333333	.01611726666666666666	.03430483333333333333
2	.02032000000000000000	.02021416666666666666	.02053166666666666666	.02042583333333333333	.02423583333333333333	.02063866666666666666	.02243666666666666666	.02275416666666666666	.02196050000000000000	.02063866666666666666	.02196050000000000000	.02196050000000000000	.02063750000000000000	.02053283333333333333	.01693333333333333333	.01672366666666666666	.01693333333333333333	.01672366666666666666	.02053166666666666666	.02063866666666666666	.02106833333333333333	.02117416666666666666	.02042700000000000000	.02011033333333333333	.01825583333333333333	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01846750000000000000	.01836166666666666666	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01619250000000000000	.03535616666666666666
3	.02021416666666666666	.02021416666666666666	.02042583333333333333	.02042583333333333333	.02423583333333333333	.02063866666666666666	.02243666666666666666	.02275416666666666666	.02196050000000000000	.02063866666666666666	.02169550000000000000	.02169550000000000000	.02053166666666666666	.02053283333333333333	.01693333333333333333	.01672366666666666666	.01693333333333333333	.01672366666666666666	.02042583333333333333	.02063866666666666666	.02106833333333333333	.02117416666666666666	.02042700000000000000	.02011033333333333333	.01825583333333333333	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01846750000000000000	.01836166666666666666	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01611726666666666666	.02741083333333333333
4	.02032000000000000000	.02021416666666666666	.02042583333333333333	.02042583333333333333	.02423583333333333333	.02063866666666666666	.02243666666666666666	.02275416666666666666	.02196050000000000000	.02063866666666666666	.02169550000000000000	.02169550000000000000	.02042583333333333333	.02053283333333333333	.01682750000000000000	.01672366666666666666	.01672366666666666666	.01672366666666666666	.02032116666666666666	.02063866666666666666	.02106833333333333333	.02117416666666666666	.02042700000000000000	.02011033333333333333	.01825583333333333333	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01846750000000000000	.01836166666666666666	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01611726666666666666	.03072466666666666666
5	.02032000000000000000	.02021416666666666666	.02042583333333333333	.02042583333333333333	.02423583333333333333	.02063866666666666666	.02243666666666666666	.02275416666666666666	.02196050000000000000	.02063866666666666666	.02169550000000000000	.02169550000000000000	.02063750000000000000	.02053283333333333333	.01703916666666666666	.01672366666666666666	.01693333333333333333	.01672366666666666666	.02063750000000000000	.02063866666666666666	.02106833333333333333	.02117416666666666666	.02042700000000000000	.02011033333333333333	.01825583333333333333	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01846750000000000000	.01836166666666666666	.02063866666666666666	.01836166666666666666	.01836166666666666666	.01672166666666666666	.02773250000000000000
